model,pca_dim,n_train,n_test,n_anchors,accuracy,f1,auroc,auprc,ece,runtime_sec
RBF-SVM-subset,4,300,100,-,0.69,0.6666666666666666,0.7077478924126857,0.6821806873216322,0.0795912109164207,0.0089893341064453
RandomForest-subset,4,300,100,-,0.72,0.6956521739130435,0.7856282617422721,0.7701409776189955,0.0705999999999999,0.2540585994720459
XGBoost-subset,4,300,100,-,0.71,0.6741573033707865,0.7507025291047772,0.7683998984970242,0.1223466658592224,0.4137718677520752
QSVM-fixed,4,300,100,full,0.7,0.6666666666666666,0.7135688478522682,0.6987733806739597,0.0919300538003725,280.25380516052246
QAnchor-SVM-fixed,4,300,100,64,0.66,0.6136363636363636,0.6896828582898434,0.6783085113416263,0.0714525086002768,93.21408367156982
QAnchor-SVM-fixed,4,300,100,128,0.7,0.6590909090909091,0.7079486150140506,0.6995172220801197,0.0740346340616644,185.8834946155548
QAnchor-SVM-fixed-6q,6,300,100,64,0.68,0.627906976744186,0.7519068647129667,0.7432743469752198,0.1062866211949313,144.6830325126648
