model,pca_dim,accuracy,f1,auroc,auprc,runtime_sec
RBF-SVM,4,0.748898678414097,0.6918918918918919,0.8309490306441525,0.8027671797313936,0.1406242847442627
RandomForest,4,0.7709251101321586,0.7346938775510204,0.8406816760475295,0.8324993623572239,0.4579625129699707
XGBoost,4,0.7841409691629956,0.743455497382199,0.8332160725453408,0.8288180320002615,0.4544057846069336
RBF-SVM,6,0.7797356828193832,0.7368421052631579,0.838531894934334,0.8140437441114763,0.12787222862243652
RandomForest,6,0.7709251101321586,0.7291666666666666,0.8560819262038775,0.8037713367147452,0.43531084060668945
XGBoost,6,0.762114537444934,0.7244897959183674,0.8454893683552219,0.8192800165190719,0.21571016311645508
