model,pca_dim,n_train,n_test,accuracy,f1,auroc,auprc,ece,runtime_sec
RBF-SVM-subset,4,300,100,0.69,0.6666666666666666,0.7077478924126857,0.6821806873216322,0.07959121091642073,0.008989334106445312
RandomForest-subset,4,300,100,0.72,0.6956521739130435,0.7856282617422721,0.7701409776189955,0.07059999999999998,0.2540585994720459
XGBoost-subset,4,300,100,0.71,0.6741573033707865,0.7507025291047772,0.7683998984970242,0.12234666585922241,0.4137718677520752
